ID,Nume,Cantitate,Pret,Prag,FurnizorNume,FurnizorEmail
1,Placa Video ASUS V1,142,640.83,28,Distribuitor Central,comenzi@depozit.ro
393,Stick USB AMD V8,12,774.16,19,Distribuitor Central,comenzi@depozit.ro
2,Mouse Kingston V9,23,148.64,7,Distribuitor Central,comenzi@depozit.ro
3,Casti Corsair V9,7,3226.35,24,Distribuitor Central,comenzi@depozit.ro
387,Casti Gigabyte V6,267,2408.42,29,Distribuitor Central,comenzi@depozit.ro
4,Sursa PC Gigabyte V7,154,3645.3,12,Distribuitor Central,comenzi@depozit.ro
5,Tastatura HP V3,169,712.33,27,Distribuitor Central,comenzi@depozit.ro
397,SSD Samsung V1,271,2971.89,24,Distribuitor Central,comenzi@depozit.ro
6,Router Wi-Fi Samsung V2,190,3816.01,7,Distribuitor Central,comenzi@depozit.ro
7,Cooler HyperX V1,91,4379.42,28,Distribuitor Central,comenzi@depozit.ro
8,Incarcator ASUS V9,199,2604.42,14,Distribuitor Central,comenzi@depozit.ro
9,Sursa PC ASUS V1,10,4433.72,26,Distribuitor Central,comenzi@depozit.ro
10,Stick USB Corsair V2,203,744.5,17,Distribuitor Central,comenzi@depozit.ro
11,Laptop Corsair V5,63,2746.95,27,Distribuitor Central,comenzi@depozit.ro
395,Tastatura Gigabyte V1,55,3443.06,31,Distribuitor Central,comenzi@depozit.ro
12,Monitor Gigabyte V4,148,4453.01,10,Distribuitor Central,comenzi@depozit.ro
13,Placa Video Lenovo V9,40,1042.28,12,Distribuitor Central,comenzi@depozit.ro
14,Tastatura HP V6,125,4110.42,17,Distribuitor Central,comenzi@depozit.ro
15,Cooler Sony V6,213,3982.8,11,Distribuitor Central,comenzi@depozit.ro
16,Placa Video AMD V3,12,2532.74,13,Distribuitor Central,comenzi@depozit.ro
17,Cablu HDMI Lenovo V7,218,998.65,33,Distribuitor Central,comenzi@depozit.ro
18,Monitor Gigabyte V8,63,700.49,7,Distribuitor Central,comenzi@depozit.ro
19,Monitor HP V7,13,2687.56,24,Distribuitor Central,comenzi@depozit.ro
20,SSD Gigabyte V5,27,3066.07,22,Distribuitor Central,comenzi@depozit.ro
21,Mouse Kingston V9,203,515.31,29,Distribuitor Central,comenzi@depozit.ro
22,Incarcator Razer V8,139,4373.92,5,Distribuitor Central,comenzi@depozit.ro
23,Router Wi-Fi Razer V9,20,3789.89,34,Distribuitor Central,comenzi@depozit.ro
24,RAM TP-Link V4,91,2434.11,9,Distribuitor Central,comenzi@depozit.ro
25,Router Wi-Fi Sony V9,21,2206.4,34,Distribuitor Central,comenzi@depozit.ro
26,Mouse Sony V6,190,1088.94,33,Distribuitor Central,comenzi@depozit.ro
27,Casti Sony V2,42,4401.26,7,Distribuitor Central,comenzi@depozit.ro
28,RAM HP V3,290,755.59,9,Distribuitor Central,comenzi@depozit.ro
29,RAM Dell V7,13,3212.58,35,Distribuitor Central,comenzi@depozit.ro
30,Incarcator Kingston V6,250,557.7,19,Distribuitor Central,comenzi@depozit.ro
31,Casti ASUS V6,122,2654.15,5,Distribuitor Central,comenzi@depozit.ro
32,Tastatura ASUS V1,1,3870.46,12,Distribuitor Central,comenzi@depozit.ro
33,Mouse Gigabyte V4,122,2433.46,13,Distribuitor Central,comenzi@depozit.ro
34,Sursa PC Sony V8,220,868.99,12,Distribuitor Central,comenzi@depozit.ro
35,Mouse Kingston V7,255,3889.31,16,Distribuitor Central,comenzi@depozit.ro
36,Tastatura Kingston V2,179,3605.66,6,Distribuitor Central,comenzi@depozit.ro
37,Mouse Corsair V4,82,1907.14,11,Distribuitor Central,comenzi@depozit.ro
38,Cablu HDMI AMD V4,258,3638.98,32,Distribuitor Central,comenzi@depozit.ro
39,Stick USB Gigabyte V2,282,3764.58,6,Distribuitor Central,comenzi@depozit.ro
40,Mouse Sony V4,256,973.66,10,Distribuitor Central,comenzi@depozit.ro
41,Incarcator Sony V1,209,1204.44,10,Distribuitor Central,comenzi@depozit.ro
42,Router Wi-Fi HP V8,298,2983.49,14,Distribuitor Central,comenzi@depozit.ro
43,SSD Razer V4,1,2612.62,14,Distribuitor Central,comenzi@depozit.ro
44,RAM Logitech V6,4,2270.28,6,Distribuitor Central,comenzi@depozit.ro
45,Stick USB Gigabyte V3,47,3833.27,6,Distribuitor Central,comenzi@depozit.ro
46,Mouse TP-Link V2,232,552.69,26,Distribuitor Central,comenzi@depozit.ro
47,Hard Disk Extern TP-Link V4,64,1895.22,23,Distribuitor Central,comenzi@depozit.ro
48,Cooler TP-Link V9,119,3018.72,15,Distribuitor Central,comenzi@depozit.ro
49,Laptop Corsair V5,10,2065.65,17,Distribuitor Central,comenzi@depozit.ro
50,Hard Disk Extern HP V2,293,4482.49,5,Distribuitor Central,comenzi@depozit.ro
51,Mouse Gigabyte V4,199,3965.68,21,Distribuitor Central,comenzi@depozit.ro
52,Hard Disk Extern Corsair V6,9,3170.38,14,Distribuitor Central,comenzi@depozit.ro
53,Cooler HP V9,288,1357.71,5,Distribuitor Central,comenzi@depozit.ro
54,Placa Video ASUS V3,2,3344.74,13,Distribuitor Central,comenzi@depozit.ro
55,Monitor HyperX V5,11,928.13,24,Distribuitor Central,comenzi@depozit.ro
391,Cooler TP-Link V7,6,1046.63,14,Distribuitor Central,comenzi@depozit.ro
56,Placa Video Dell V5,47,428.96,21,Distribuitor Central,comenzi@depozit.ro
57,Incarcator Dell V5,2,2872.45,6,Distribuitor Central,comenzi@depozit.ro
385,Hard Disk Extern Logitech V4,8,3364.75,34,Distribuitor Central,comenzi@depozit.ro
58,Cablu HDMI Razer V8,26,516.75,22,Distribuitor Central,comenzi@depozit.ro
59,Hard Disk Extern Lenovo V3,12,2627.56,22,Distribuitor Central,comenzi@depozit.ro
60,Monitor Intel V3,26,4046.68,6,Distribuitor Central,comenzi@depozit.ro
61,Casti Kingston V4,25,2526.08,26,Distribuitor Central,comenzi@depozit.ro
389,Router Wi-Fi Lenovo V8,133,1677.61,29,Distribuitor Central,comenzi@depozit.ro
62,Stick USB Intel V3,117,4393.28,34,Distribuitor Central,comenzi@depozit.ro
63,Router Wi-Fi Razer V7,3,3524,5,Distribuitor Central,comenzi@depozit.ro
64,Incarcator HP V4,12,499.81,13,Distribuitor Central,comenzi@depozit.ro
65,Stick USB Logitech V8,8,1583.22,12,Distribuitor Central,comenzi@depozit.ro
66,Stick USB HP V4,4,1802.12,12,Distribuitor Central,comenzi@depozit.ro
67,Cablu HDMI Dell V2,214,2892.05,35,Distribuitor Central,comenzi@depozit.ro
68,Incarcator Kingston V9,74,3948.52,15,Distribuitor Central,comenzi@depozit.ro
69,Cablu HDMI Razer V5,4,1565.41,6,Distribuitor Central,comenzi@depozit.ro
70,Router Wi-Fi Samsung V7,83,1742.6,24,Distribuitor Central,comenzi@depozit.ro
71,Cooler Corsair V5,6,2346.84,6,Distribuitor Central,comenzi@depozit.ro
72,Router Wi-Fi Gigabyte V4,185,2809.85,16,Distribuitor Central,comenzi@depozit.ro
73,Placa Video Dell V2,287,1402.14,28,Distribuitor Central,comenzi@depozit.ro
74,Incarcator Samsung V7,92,875.4,27,Distribuitor Central,comenzi@depozit.ro
75,Placa Video Intel V3,231,2472.5,24,Distribuitor Central,comenzi@depozit.ro
76,Tastatura HyperX V5,175,2100.47,11,Distribuitor Central,comenzi@depozit.ro
77,SSD Kingston V4,107,2969.95,21,Distribuitor Central,comenzi@depozit.ro
78,Cablu HDMI Gigabyte V6,127,3032.49,7,Distribuitor Central,comenzi@depozit.ro
79,Casti HP V4,4,4427.95,9,Distribuitor Central,comenzi@depozit.ro
80,Cooler Dell V2,118,3236.78,19,Distribuitor Central,comenzi@depozit.ro
81,Incarcator AMD V7,1,4018.58,12,Distribuitor Central,comenzi@depozit.ro
82,Stick USB HP V2,119,3621.43,29,Distribuitor Central,comenzi@depozit.ro
83,Sursa PC Gigabyte V8,68,2062.23,6,Distribuitor Central,comenzi@depozit.ro
84,Router Wi-Fi AMD V9,248,2762.75,22,Distribuitor Central,comenzi@depozit.ro
85,Sursa PC Sony V9,298,2014.92,18,Distribuitor Central,comenzi@depozit.ro
86,Monitor Lenovo V8,145,3781.79,19,Distribuitor Central,comenzi@depozit.ro
87,Cablu HDMI HP V9,160,1987.83,20,Distribuitor Central,comenzi@depozit.ro
88,Sursa PC HyperX V4,289,376.39,13,Distribuitor Central,comenzi@depozit.ro
89,Monitor Corsair V7,7,303.07,27,Distribuitor Central,comenzi@depozit.ro
90,Incarcator Samsung V9,124,3750.52,19,Distribuitor Central,comenzi@depozit.ro
91,Incarcator Sony V1,226,2154.25,32,Distribuitor Central,comenzi@depozit.ro
92,Laptop HyperX V7,246,2428.92,32,Distribuitor Central,comenzi@depozit.ro
93,Sursa PC Gigabyte V4,14,2193.1,20,Distribuitor Central,comenzi@depozit.ro
